STATEFP,STUSPS,Name,Average Price per Avocado,Total Volume of Avocados,Number of Small Avocados,Number of Large Avocados,Number of XLarge Avocados,Total Bags of Avocados,Small Bags of Avocados,Large Bags of Avocados,XLarge Bags of Avocados
36,NY,New York,1.3,551881,25631,350682,328,175240,150337,24365,538
13,GA,Georgia,1.01,669620,310603,42127,1638,315251,215087,97002,3162
24,MD,Maryland,1.3,962242,108742,569914,4683,278902,273477,5023,402
16,ID,Idaho,1.18,98580,45315,4017,10155,39093,21721,17268,104
25,MA,Massachusetts,1.34,689923,18944,547557,3187,120236,91816,27581,839
06,CA,California,1.08,6786962,2487269,2293684,119451,1886558,1777002,34960,74595
37,NC,North Carolina,1.22,332990,83466,100516,5423,143585,137066,6519,0
17,IL,Illinois,1.42,928029,116405,525173,143758,142694,92984,49042,667
39,OH,Ohio,0.96,253756,75463,30266,7662,140365,113699,24973,1694
48,TX,Texas,0.76,1560682,742151,213743,6112,598676,491279,101005,6391
08,CO,Colorado,1.05,958089,181775,265475,13949,496889,119170,377714,5
26,MI,Michigan,1.39,204568,2981,87689,58528,55369,32791,4915,17663
42,PA,Pennsylvania,1.22,321041,63177,142947,720,114196,93730,19648,819
09,CT,Connecticut,1.38,352928,12196,270501,286,69945,64244,4916,785
18,IN,Indiana,0.99,231577,60300,54378,8741,108156,91680,14608,1868
32,NV,Nevada,1.06,364147,75961,117421,6576,164189,76886,86861,441
21,KY,Kentucky,1.05,118762,24052,32726,330,61654,39383,21745,527
12,FL,Florida,1.21,513249,333902,40155,1274,137917,76074,61703,140
47,TN,Tennessee,0.96,284750,131790,12933,381,139646,106608,31287,1752
22,LA,Louisiana,1.02,331148,198807,25594,2340,104407,89426,14416,566
04,AZ,Arizona,0.68,1485173,787221,278824,13727,405401,222015,177858,5528
41,OR,Oregon,1.11,672021,79032,260208,16664,316117,143864,171291,962
51,VA,Virginia,1.04,257605,64982,72150,1014,119458,99020,19969,469
53,WA,Washington,1.25,340250,67649,100363,677,171561,84155,87052,354
45,SC,South Carolina,1.15,469604,214260,74954,3733,176657,133219,40341,3097
29,MO,Missouri,1.18,203810,97616,8610,456,97127,78435,17550,1143
